prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,model_id,device,clip_cosine,clip_score,sharpness_laplacian_var
"a futuristic city at night with neon lights and flying vehicles, highly detailed",1001,outputs\part_a\images\A01_seed1001.png,4,0.0,512,512,10.171639499996672,A01,stabilityai/sdxl-turbo,cuda,0.3277909755706787,32.77909755706787,0.012498825788497925
"a realistic portrait of an elderly scientist in a laboratory, soft light, detailed face",1002,outputs\part_a\images\A02_seed1002.png,4,0.0,512,512,9.78994909999892,A02,stabilityai/sdxl-turbo,cuda,0.3582579493522644,35.82579493522644,0.0023806244134902954
"a fantasy dragon resting on a mountain, cinematic lighting, highly detailed",1003,outputs\part_a\images\A03_seed1003.png,4,0.0,512,512,9.952488499999165,A03,stabilityai/sdxl-turbo,cuda,0.3325178623199463,33.25178623199463,0.009287533350288868
"An ant in the foreground, centered on a little hill, hyper-realistic, looking up and to the right side, like an inspired ant. Behind it, there is a colony or  army of ants fighting. The scene si a set at night, with a clear sky and a full moon.",1004,outputs\part_a\images\A04_seed1004.png,4,0.0,512,512,8.826127899999847,A04,stabilityai/sdxl-turbo,cuda,0.37794172763824463,37.79417276382446,0.004820452071726322
"A autumn landscape of a park filled with trees and some people walking. The people are wearing a dark-to-brown color palette, admid falling leaves. An orange setting sun casts an afternoon glow, with a light mist hanging in the air",1005,outputs\part_a\images\A05_seed1005.png,4,0.0,512,512,7.954258199999458,A05,stabilityai/sdxl-turbo,cuda,0.36212480068206787,36.21248006820679,0.010144921019673347
"a bowl of ramen on a wooden table, steam rising, food photography, realistic",1006,outputs\part_a\images\A06_seed1006.png,4,0.0,512,512,9.37482589999854,A06,stabilityai/sdxl-turbo,cuda,0.36513522267341614,36.513522267341614,0.005106488708406687
"a medieval castle in the rain, dramatic clouds, cinematic atmosphere",1007,outputs\part_a\images\A07_seed1007.png,4,0.0,512,512,11.1418405000004,A07,stabilityai/sdxl-turbo,cuda,0.35470449924468994,35.470449924468994,0.00274903723038733
"a cute robot reading a book in a library, warm light, illustration style",1008,outputs\part_a\images\A08_seed1008.png,4,0.0,512,512,10.781617799999369,A08,stabilityai/sdxl-turbo,cuda,0.3693922758102417,36.93922758102417,0.007171464618295431
"an astronaut walking through a colorful alien forest, vibrant, detailed",1009,outputs\part_a\images\A09_seed1009.png,4,0.0,512,512,8.616119600003003,A09,stabilityai/sdxl-turbo,cuda,0.3646300733089447,36.46300733089447,0.0068305786699056625
"An aerial view of Monaco's beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track.",1010,outputs\part_a\images\A10_seed1010.png,4,0.0,512,512,8.908601399998588,A10,stabilityai/sdxl-turbo,cuda,0.31536564230918884,31.536564230918884,0.0210175272077322
